movie_slug,subgenre_name
arrival,drama film
arrival,mystery film
arrival,science fiction film
arrival,thriller film
arthur-christmas,children's film
arthur-christmas,Christmas film
arthur-christmas,comedy drama
arthur-christmas,comedy film
arthur-christmas,family film
as-good-as-it-gets,comedy drama
as-good-as-it-gets,comedy film
as-good-as-it-gets,drama film
as-good-as-it-gets,LGBTQ-related film
as-good-as-it-gets,romance film
as-good-as-it-gets,romantic comedy film
ascension,horror film
ash-is-purest-white,drama film
assault-on-precinct-13-1976,action film
assault-on-precinct-13-1976,crime film
assault-on-precinct-13-1976,crime thriller film
assault-on-precinct-13-1976,exploitation film
assault-on-precinct-13-1976,thriller film
at-berkeley,documentary film
atanarjuat-the-fast-runner,drama film
atanarjuat-the-fast-runner,fantasy film
athlete-a,documentary film
atlantic-city,musical film
atlantics,drama film
atlantis,drama film
atlantis,silent film
atlantis-the-lost-empire,action film
atlantis-the-lost-empire,adventure film
atlantis-the-lost-empire,coming-of-age film
atlantis-the-lost-empire,drama film
atlantis-the-lost-empire,fantasy film
atlantis-the-lost-empire,science fiction film
atonement,drama film
atonement,romance film
atonement,silent film
attack-the-block,action film
attack-the-block,alien invasion
attack-the-block,comedy film
attack-the-block,comedy horror
attack-the-block,coming-of-age film
attack-the-block,hood film
attack-the-block,monster film
attack-the-block,science fiction film
au-hasard-balthazar,art film
au-hasard-balthazar,crime film
au-hasard-balthazar,drama film
au-revoir-les-enfants,coming-of-age film
au-revoir-les-enfants,drama film
au-revoir-les-enfants,war film
audition,anthology film
audition,documentary film
audition,musical film
august-rush,action film
august-rush,musical film
august-rush,romance film
autumn-tale,drama film
autumn-tale,romantic comedy
avatar,drama film
avpr-aliens-vs-predator---requiem,action film
avpr-aliens-vs-predator---requiem,crossover fiction
avpr-aliens-vs-predator---requiem,horror film
avpr-aliens-vs-predator---requiem,monster film
avpr-aliens-vs-predator---requiem,science fiction action film
avpr-aliens-vs-predator---requiem,science fiction film
avpr-aliens-vs-predator---requiem,science fiction horror film
avpr-aliens-vs-predator---requiem,speculative fiction film
avpr-aliens-vs-predator---requiem,splatter film
avpr-aliens-vs-predator---requiem,suspense film
avpr-aliens-vs-predator---requiem,thriller film
awakenings,drama film
away-from-her,drama film
away-we-go,comedy drama
away-we-go,romantic comedy
azor,drama film
babel,children's film
baby-doll,drama film
baby-driver,action comedy film
baby-driver,action film
baby-driver,adventure film
baby-driver,crime comedy film
back-to-the-future,adventure film
back-to-the-future,comedy film
back-to-the-future,science fiction film
back-to-the-future,teen film
back-to-the-future,time-travel film
back-to-the-future-part-ii,comedy film
back-to-the-future-part-ii,dystopian film
back-to-the-future-part-ii,science fiction film
back-to-the-future-part-ii,teen film
back-to-the-future-part-ii,time-travel film
back-to-the-future-part-iii,comedy film
back-to-the-future-part-iii,science fiction film
back-to-the-future-part-iii,teen film
back-to-the-future-part-iii,time-travel film
back-to-the-future-part-iii,Western film
backdraft,action film
backdraft,crime film
backdraft,disaster film
backdraft,drama film
backdraft,thriller film
bacurau,contemporary Western film
bacurau,drama film
bacurau,science fiction film
bacurau,Weird West
bad-boys,drama film
bad-boys-ii,action film
bad-boys-ii,buddy cop film
bad-boys-ii,comedy film
bad-boys-ii,hood film
bad-education,coming-of-age film
bad-education,crime film
bad-education,drama film
bad-education,LGBTQ-related film
bad-education,mystery film
bad-education,neo-noir
bad-education,thriller film
bad-lieutenant,crime film
bad-lieutenant,drama film
badlands,crime film
badlands,drama film
bait-2019,crime film
ballast,independent film
ballets-russes,documentary film
bamako,drama film
bambi,children's film
bambi,coming-of-age film
bambi,drama film
bambi,fantasy film
bambi,musical film
band-of-outsiders-re-release,comedy film
band-of-outsiders-re-release,crime film
band-of-outsiders-re-release,drama film
band-of-outsiders-re-release,heist film
band-of-outsiders-re-release,romance film
bandits,drama film
barry-lyndon,adventure film
barry-lyndon,comedy drama
barry-lyndon,drama film
barry-lyndon,historical drama film
barry-lyndon,historical film
barry-lyndon,period drama film
barry-lyndon,war drama
barry-lyndon,war film
barton-fink,black comedy film
barton-fink,comedy drama
barton-fink,comedy film
barton-fink,drama film
barton-fink,independent film
barton-fink,neo-noir
barton-fink,psychological drama film
barton-fink,psychological thriller film
barton-fink,thriller film
basic-instinct,crime film
basic-instinct,drama film
basic-instinct,erotic film
basic-instinct,erotic thriller
basic-instinct,LGBTQ-related film
basic-instinct,mystery film
basic-instinct,thriller film
batman,action film
batman,propaganda film
batman,superhero film
batman-mask-of-the-phantasm,action film
batman-mask-of-the-phantasm,mystery film
batman-mask-of-the-phantasm,neo-noir
batman-mask-of-the-phantasm,science fiction film
batman-returns,action film
batman-returns,Christmas film
batman-returns,fantasy film
batman-returns,neo-noir
batman-returns,science fiction film
batman-returns,superhero film
batman-returns,thriller film
battle-royale-2000,action film
battle-royale-2000,drama film
battle-royale-2000,dystopian film
battle-royale-2000,splatter film
battle-royale-2000,thriller film
battleship-potemkin,drama film
battleship-potemkin,historical drama
battleship-potemkin,propaganda film
battleship-potemkin,silent film
be-kind-rewind,comedy film
be-kind-rewind,drama film
bean,comedy film
beasts-of-the-southern-wild,drama film
beasts-of-the-southern-wild,fantasy film
beasts-of-the-southern-wild,magic realist film
beau-travail,drama film
beau-travail,LGBTQ-related film
beauty-and-the-beast-1991,cinematic fairy tale
beauty-and-the-beast-1991,drama film
beauty-and-the-beast-1991,fantasy film
beauty-and-the-beast-re-release,cinematic fairy tale
beauty-and-the-beast-re-release,drama film
beauty-and-the-beast-re-release,fantasy film
beavis-and-butt-head-do-america,adventure film
beavis-and-butt-head-do-america,animated film
